Category,Message
Inspection Services,"Fan on norfolk st side (across from 55 norfolk side) loud fan noise for 48 hours straight; measures 60db at street level (311 sr#11997033) norfolk alley side (near 55 norfolk st) very loud can noise. i measured 65db at street level, and can hear it everywhere in my home. loud fan noise coming from construction site since 3pm today. the noise can be heard from buildings across the street and is as loud as a lawn mower with windows closed. it is now past construction hours and still going. based on past experiences, it will probably persist through the night. loud fan can be heard on construction site starting this afternoon on norfolk street side. it sounds as loud as a helicopter and will persist through the night. (311 sr#12034726, #12034939, #12035154)"
Plumbing Inspection Division,Drainage overflowing in the basement.
Mortgage,"Loan modification,collection,foreclosure"
Disabled Access Division,Illegal landing at entry door.
Student loan,Can't repay my loan
Credit reporting,Unable to get credit report/credit score
Money transfers,Fraud or scam
Mortgage,"Loan servicing, payments, escrow account"
Electrical Inspection Division,Cable wires go down to the chimmy.
Other financial service,Customer service/Customer relations
Department of Bldg Inspection,Fire exit is locked; garbage/odors in court yard.  door between bdrm/livingroom can't be opened; tub has been clogged for 3 months now.
Credit reporting,Credit reporting company's investigation
Money transfers,Other transaction issues
Other financial service,Fraud or scam
Building Inspection Division,Permanent spot light in the back of the building stays on all night and shines across their property line directly into my windows. this stays on all night on a timer at 152 london street (311 sr 12086962)
Payday loan,Charged fees or interest I didn't expect
Department of Bldg Inspection,"Foundation of 1960-21st avenue, is leaning onto 1956 21st avenue against the house; soil is loose."
Payday loan,Charged fees or interest I didn't expect
Bank account or service,"Account opening, closing, or management"
Plumbing Inspection Division,Basement and garbage area floor drains and driveway floor drain backing up sewage.  media was out today.  complaint was received dtshea on 10/29/96
Building Inspection Division,Date last observed: 07-feb-20;    exact location: main bldg;    building type: residence/dwelling   work w/o permit; ;    additional information: building a deck in the back yard;
Prepaid card,Unauthorized transactions/trans. issues
Prepaid card,Fraud or scam
Consumer Loan,Managing the line of credit
Department of Bldg Inspection,"Ceiling is peeling in living room, leaking."
Debt collection,Cont'd attempts collect debt not owed
Payday loan,Charged fees or interest I didn't expect
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 110129 , serial no 1201334201"
Disabled Access Division,Illegal landing at entry doors.
Money transfers,Money was not available when promised
Debt collection,Communication tactics
Credit reporting,Incorrect information on credit report
Code Enforcement Section,Vacant storefront
Housing Inspection Services,Only one exit from the second story of their former dwelling unit.
Mortgage,Settlement process and costs
Credit reporting,Incorrect information on credit report
Student loan,Dealing with my lender or servicer
Plumbing Inspection Division,Installed water heater without benefit of permit.  water heater is not raised above floor.
Electrical Inspection Division,"Doing electrical work without a permit.  also doing- plumbing, sanding, sheetrock, etc.  debris is also flying and falling into food on the premises."
Prepaid card,Fraud or scam
Credit reporting,Improper use of my credit report
Inspection Services,920 leavenworth street --- caller is making a noise complaint. started an hour ago. on the side where the trash cans are. going on for a few weeks now. nothing has been posted. they started building a structure at this location. (311 sr#11804775)
Housing Inspection Services,C02 coming from portable generator and affecting 145 gillette ave.
Other financial service,Customer service/Customer relations
Other financial service,Disclosures
Department of Bldg Inspection,Extension 14 -  water seeping through the brick wall.  flooded this morning when he came to work.
Payday loan,Charged fees or interest I didn't expect
Bank account or service,"Account opening, closing, or management"
Credit card,Other
Department of Bldg Inspection,Structural problems; no fire escape; smoke detectors not working properly; no heat; floor/ceiling cracked; windows cracked; numerous leaks.
Inspection Services,Work beyond the scope of the permit. framing is not up to code. electrical not up to code. drywall hung vertically
Plumbing Inspection Division,"Needs to renew boiler permit for permit no 109954 , serial no w708-11-7966a"
Money transfers,Other service issues
Money transfers,Fraud or scam
Money transfers,Other transaction issues
Credit reporting,Incorrect information on credit report
Money transfers,Other transaction issues
Electrical Inspection Division,Electrical box for the water fountain is too close to the water and the fountain is no longer working.
Consumer Loan,Problems when you are unable to pay
Housing Inspection Services,Routines
Student loan,Repaying your loan
Code Enforcement Section,"Vacant storefront
2020 registration due 02/26/20"
Payday loan,Received a loan I didn't apply for
Mortgage,"Loan servicing, payments, escrow account"
Bank account or service,"Making/receiving payments, sending money"
Consumer Loan,Problems when you are unable to pay
Code Enforcement Section,"Failure to comply with tier iii, mandatory soft-story seismic retrofit per sfbc chapter 5 code section 505e.2. permit inspections incomplete"
Student loan,Getting a loan
Housing Inspection Services,No hot water until after 8:00 am.
Inspection Services,G/f new commerical tenant improvement without permit and inspection.
Debt collection,Cont'd attempts collect debt not owed
Credit reporting,Incorrect information on credit report
